# $Id: id.txt,v 1.63 2022/09/20 00:01:15 karn Exp $
1	VHF airspy
4468000 KG6HSQ Fallbrook
4468000 KM6RW San Dimas - Johnstone Peak
4468000 N6LXX Yermo
4468000 WB6IZC Temecula
4468200 WA6LIF Rancho Palos Verdes
4468400 N6EHM Lake Forest - Santiago Peak
4468600 K6JRM Blythe
4468600 K6JRM Hemet
4468600 K6VST Carlsbad
4468600 KJ6EO Santa Clarita
4468600 KK6JYT Glendora
4468600 N6LXX Wrightwood - Blue Ridge
4468600 N6SCI Avalon - Mt Ada
4468600 N6TRI Oceanside
4468600 W6QAR San Diego - Sorrento Valley
4468700 W6CPA Wrightwood - Blue Ridge
4468800 KB6JAG Hemet
4468800 KJ6HVS Mission Hills
4468800 KJ6KTV Alta Loma
4468800 N6LKA Redlands
4468800 N6LXX Onyx - Onyx Peak
4468800 WA6ZFT La Mesa
4469000 WD6DIH Irvine - Signal Peak
4469000 WD6DIH Lake Forest - Santiago Peak
4469400  Mt Wilson DARN
4469600 WD6DIH Baker -  Turquoise Mountain
4469800 KW6HRO Otay PAPA D11
4469800 WA6WLZ Loop Canyon
4470000 W6NWG Palomar Mountain
4470000 W6NWG Palomar / PAPA21 Redlands
4470000 WB6CDF Yucca Valley - Paxton Hill
4470200 KC6IJM Thousand Oaks
4470200 N6AJB Gilman Hot Springs - Daniel Peak
4470200 N6AJB Lake Arrowhead - Heaps Peak
4470200 N6AJB Lake Forest - Santiago Peak
4470200 N6AJB Little San Gorgonio Peak
4470200 N6AJB Redlands - Tremont Ranch
4470200 W5HMV Trona
4470400 KK6BAD San Diego - Otay Mtn
4470600 WA6DYX Glendale - Mt Lukens
4470800 K6ZXZ Lake Arrowhead - Heaps Peak
4471000 WB6ORK Corona - Sierra Peak
4471000 WB6ORK Gorman - Frazier Mountain
4471200 K6PV Palos Verdes Peninsula
4471400 K6IFR Edom Hill PAPA D16
4471400 WA6TTL Diamond Bar
4471400 WA6TTL Ventura
4471600 W6XC Santa Ynez Peak
4471600 WA6TTL Chatsworth Peak
4471600 WA6TTL Claremont - Sunset Ridge
4471800 KG6GI Santiago Peak
4471900 KJ6FCH San Marcos PAPA D09
4471900 KJ6LKA San Marcos
4472000 K6ONT Rancho Cucamonga
4472000 K6PUW Oat Mountain
4472000 KA6GBJ Thousand Palms
4472000 N6HYM Painted Cave
4472000 W6SH Coronado
4472000 WR6AZN Table Mountain
4472200 K6PIN Box Springs
4472200 KC6PXL Contractors Pt
4472200 WB6TZE Santa Ynez Peak
4472400 WA6UZS Mt Lukens DARN
4472600 AA4CD San Miguel Mountain
4472600 WD6FZA San Marcos
4472800 KI6KHB Mt Soledad
4472800 WR6HP Running Springs
4473000 AA4CD San Marcos Peak
4473000 W6NRY Johnstone Peak
4473200 K6JR Palm Springs - Edom Hill
4473200 KA6GRF Fontana
4473200 N6GLA West Los Angeles
4473200 W6DRA Palm Desert
4473200 WA6FV Fountain Valley
4473200 WA6ZSN Ventura - South Mtn
4473200 WB6WLV Kearney Mesa
4473200 WB6WLV Kearney Mesa
4473400 W6FRT Sylmar - Contractors Pt
4473600 AA4CD San Diego DARN
4473800 W6YJ Lake Forest - Santiago Peak
